year_month,monthly_cost,cumulative_cost
2022-07-01,1881576.0600000005,1881576.0600000005
2022-08-01,2738193.959999998,4619770.019999999
2022-09-01,2631757.0200000037,7251527.040000003
2022-10-01,3081031.6200000015,10332558.660000004
2022-11-01,2965794.839999996,13298353.5
2022-12-01,2739985.559999998,16038339.059999999
2023-01-01,2957813.8800000004,18996152.939999998
2023-02-01,2648149.0800000005,21644302.02
2023-03-01,2899059.840000001,24543361.86
2023-04-01,2476076.1600000015,27019438.02
2023-05-01,3176736.209999998,30196174.229999997
2023-06-01,3083074.6199999964,33279248.849999994
2023-07-01,2707573.74,35986822.589999996
2023-08-01,2776720.470000001,38763543.059999995
2023-09-01,3327902.9999999977,42091446.059999995
2023-10-01,2859839.399999999,44951285.45999999
2023-11-01,3635096.099999999,48586381.559999995
2023-12-01,2737526.8200000003,51323908.379999995
2024-01-01,2744384.4000000004,54068292.779999994
2024-02-01,2702687.3099999987,56770980.08999999
2024-03-01,2950089.6,59721069.68999999
2024-04-01,2331392.850000001,62052462.53999999
2024-05-01,2598135.869999999,64650598.40999999
2024-06-01,2328454.440000002,66979052.849999994
2024-07-01,712699.3500000001,67691752.19999999
